number,name,office,district,party,candidate,vote,,
5,Fruit Valley,Governor,,R,Dino Rossi,213,213,213
6,Glenwood,Governor,,R,Dino Rossi,161,161,161
7,Husum,Governor,,R,Dino Rossi,213,213,213
8,Lyle,Governor,,R,Dino Rossi,250,250,250
9,Mt Brook,Governor,,R,Dino Rossi,174,174,174
11,N Dalles,Governor,,R,Dino Rossi,214,215,215
12,N Fruit Valley,Governor,,R,Dino Rossi,248,248,248
13,Pine Forest,Governor,,R,Dino Rossi,496,496,496
14,Roosevelt,Governor,,R,Dino Rossi,38,38,38
16,Trout Lake,Governor,,R,Dino Rossi,238,238,238
17,W Klickitat,Governor,,R,Dino Rossi,60,60,60
19,Wishram,Governor,,R,Dino Rossi,38,38,38
20,Woodland,Governor,,R,Dino Rossi,440,440,440
21,Orchrad Hts,Governor,,R,Dino Rossi,137,137,137
22,Appleton,Governor,,R,Dino Rossi,96,96,96
23,Alderton,Governor,,R,Dino Rossi,62,62,62
24,E Lyle,Governor,,R,Dino Rossi,93,93,93
27,River,Governor,,R,Dino Rossi,11,11,11
28,High Prairie,Governor,,R,Dino Rossi,37,37,37
101,Bingen,Governor,,R,Dino Rossi,71,71,71
201,Goldendale 1,Governor,,R,Dino Rossi,278,278,278
202,Goldendale 2,Governor,,R,Dino Rossi,245,245,245
203,Goldendale 3,Governor,,R,Dino Rossi,209,209,209
301,White Salmon,Governor,,R,Dino Rossi,231,231,231
302,N White Salmon,Governor,,R,Dino Rossi,153,153,153
KLICKITAT WA,KLICKITAT WA,Governor,,R,Dino Rossi,4766,4767,4767
1,Alder Creek,Governor,,L,Ruth Bennett,4,4,4
2,Centerville,Governor,,L,Ruth Bennett,8,8,8
3,Columbus,Governor,,L,Ruth Bennett,3,3,3
4,E Klickitat,Governor,,L,Ruth Bennett,10,10,10
5,Fruit Valley,Governor,,L,Ruth Bennett,11,11,11
6,Glenwood,Governor,,L,Ruth Bennett,7,7,7
7,Husum,Governor,,L,Ruth Bennett,9,9,9
8,Lyle,Governor,,L,Ruth Bennett,20,20,20
9,Mt Brook,Governor,,L,Ruth Bennett,13,13,13
11,N Dalles,Governor,,L,Ruth Bennett,12,12,12
12,N Fruit Valley,Governor,,L,Ruth Bennett,9,9,9
13,Pine Forest,Governor,,L,Ruth Bennett,23,23,23
14,Roosevelt,Governor,,L,Ruth Bennett,2,2,2
16,Trout Lake,Governor,,L,Ruth Bennett,3,3,3
17,W Klickitat,Governor,,L,Ruth Bennett,3,3,3
19,Wishram,Governor,,L,Ruth Bennett,10,10,10
20,Woodland,Governor,,L,Ruth Bennett,26,26,26
21,Orchrad Hts,Governor,,L,Ruth Bennett,6,6,6
22,Appleton,Governor,,L,Ruth Bennett,7,7,7
23,Alderton,Governor,,L,Ruth Bennett,0,0,0
24,E Lyle,Governor,,L,Ruth Bennett,2,2,2
27,River,Governor,,L,Ruth Bennett,2,2,2
28,High Prairie,Governor,,L,Ruth Bennett,1,1,1
101,Bingen,Governor,,L,Ruth Bennett,7,7,7
201,Goldendale 1,Governor,,L,Ruth Bennett,14,14,14
202,Goldendale 2,Governor,,L,Ruth Bennett,14,14,14
203,Goldendale 3,Governor,,L,Ruth Bennett,13,13,13
301,White Salmon,Governor,,L,Ruth Bennett,15,15,15
302,N White Salmon,Governor,,L,Ruth Bennett,11,11,11
KLICKITAT WA,KLICKITAT WA,Governor,,L,Ruth Bennett,265,265,265
